BUCKET,DIAS_MORA,DIAS_INCUMPLIMIENTO,MET_CALCULO,MARCA_DEFAULT,PDI,RANGO_SCORE_PN,seg_PD12mes,PD_12M_ACTUAL_FINAL,PD_12M_DESEMBOLSO_FINAL,PD_LIFETIME_ACTUAL_FINAL,PD_LIFETIME_DESEMBOLSO_FINAL,EXPOSICION_TOTAL_FA,VALOR_PROVISION,cobertura,target
1,0,,ECL_12M,0,0.50798,7.0,PN_CREDITOFACIL,0.2084564547,0.2084564547,0.8544960705,0.7024468666,13645.36,1444.9292731,0.1058916197960332,Al dia
1,0,,ECL_12M,0,0.50798,7.0,PN_CREDITOFACIL,0.2084564547,0.2084564547,0.63260948755,0.38929152825,5793.43,613.47568689,0.1058916197986339,Al dia
1,0,,ECL_12M,0,0.50798,7.0,PN_CREDITOFACIL,0.1985058634153402,0.1985058634153402,0.4985992380904513,0.3504876265285197,6978404.216299987,731361.0651430055,0.1048034826407318,Al dia
1,0,,ECL_12M,0,0.50798,8.0,PN_CREDITOFACIL,0.3639536937,0.3639536937,0.9373192295,0.7519324547,111578.94,20628.830479,0.1848810400869554,Al dia
1,0,,ECL_12M,0,0.50798,8.0,PN_CREDITOFACIL,0.3639536937,0.3639536937,0.9068593109,0.9913590985,15139.79,2799.0601219,0.1848810400870817,Al dia
1,0,,ECL_12M,0,0.50798,8.0,PN_CREDITOFACIL,0.3639536937,0.3639536937,0.3725658589,0.4558535229,11722.4996,2167.2679185,0.1848810400897774,Al dia
1,0,,ECL_12M,0,0.50798,8.0,PN_CREDITOFACIL,0.3257121824021196,0.3257121824021196,0.5350262907360759,0.3713181031500591,2244907.989599997,404262.7165423543,0.180079860027754,Al dia
1,0,,ECL_12M,0,0.50798,9.0,PN_CREDITOFACIL,0.2279884411,0.2279884411,0.0727467135,0.0258684865,278.71,32.278372169,0.1158134698037386,Al dia
1,0,,ECL_12M,0,0.50798,9.0,PN_CREDITOFACIL,0.5897499506335818,0.5897499506335818,0.6734571424899268,0.4135223539727612,627951.9193000001,211993.70779797804,0.3375954452600365,Al dia
1,1,,ECL_12M,0,0.50798,2.0,PN_CURA,0.4531704813733334,0.4531704813733334,0.2940367294733333,0.1801265753666666,18394.4937,4136.733835633001,0.2248897905590628,Al dia
1,1,,ECL_12M,0,0.50798,3.0,PN_CURA,0.4608108688358977,0.4608108688358977,0.4460113168820512,0.2268614022076923,62865.40090000004,16849.176217027,0.2680198642784284,Al dia
1,1,,ECL_12M,0,0.50798,4.0,PN_CURA,0.3869707512737707,0.3869707512737707,0.4232689222836064,0.1999226730819672,106365.01559999998,25734.0559576448,0.2419409785490108,Al dia
1,1,,ECL_12M,0,0.50798,5.0,PN_CURA,0.3491895832500002,0.3491895832500002,0.4176800637277776,0.2086528261648149,100931.71100000002,25662.883374729798,0.2542598666015855,Al dia
